english,hindi,Santali,Nagpuri,Khortha,category,emoji,difficulty
hello,नमस्ते,ᱡᱚᱦᱟᱨ (Johar),जोहार (Johar),गोड़ लागो ही / जोहार (God Lago Hi),Greetings,👋,easy
goodbye,अलविदा / फिर मिलेंगे,ᱟᱨᱦᱚᱸ ᱵᱚᱱ ᱧᱟᱯᱟᱢᱟ (Arho bon njapama),फिन मिलब (Phin milab),फिन मिलब (Phin milab),Greetings,👋,easy
Ba?,अलविदा,ᱥᱮᱱᱚᱜ ᱠᱟᱹᱱᱟᱹᱧ (Senog kanaj),जात अही (Jaat ahi),जा रहल ही (Ja rahal heen),Greetings,👋,easy
please,कृपया,ᱫᱟᱭᱟ ᱠᱟᱛᱮ (Daya kate),बिनती / किरपा (Binti),किरपा करि (Kirpa kari),Greetings,🙏,easy
thank you,धन्यवाद / बहुत-बहुत धन्यवाद,ᱥᱟᱨᱦᱟᱣ (Sarhaw),धन्यबाद (Dhanyabad),धन्यबाद (Dhanyabad),Greetings,🙏,easy
sorry,माफ़ कीजिए,ᱤᱠᱟᱹ (Ika),माफ़ करब (Maaf karab),माफ़ करब (Maaf karab),Greetings,🙇,easy
Yes,हाँ,ᱦᱮᱸ (Hẽ),हँ (Hã),हँ (Hã),Greetings,👍,easy
No,नहीं,ᱵᱟᱝ (Bang),ना / नई (Na / Nai),ना / नय (Na / Nay),Greetings,👎,easy
water,पानी,ᱫᱟᱜ (Da'),पानी (Pani),पानी (Pani),Daily Life,💧,easy
food,खाना / भोजन,ᱡᱚᱢᱟᱜ (Jomag),खाएक (Khaek),खायेक (Khayek),Food,🍲,easy
rice,चावल / भात,ᱫᱟᱠᱟ (Daka),भात (Bhat),भात (Bhat),Food,🍚,easy
Bread,रोटी,ᱯᱤᱴᱷᱟᱹ (Pitha / Roti),रोटी (Roti),रोटी (Roti),Food,🫓,easy
Chapati,रोटी,ᱯᱤᱴᱷᱟᱹ (Pitha),रोटी (Roti),रोटी (Roti),Food,🫓,easy
Vegetable,सब्ज़ी / तरकारी,ᱩᱛᱩ (Utu),तरकारी (Tarkari),तरकारी / तियान (Tarkari),Food,🥬,easy
Milk,दूध,ᱛᱚᱣᱟ (Towa),दूध (Doodh),दूध (Doodh),Food,🥛,easy
Mango,आम,ᱩᱞ (Ul),आम (Aam),आम (Aam),Food,🥭,easy
Sweet,मीठा,ᱦᱮᱲᱮᱢ (Herem),मीठा (Meetha),मीठा (Meetha),Food,🍬,easy
Hungry,भूखा,ᱨᱮᱸᱜᱮᱡ (Rengej),भूखल (Bhukhal),भूखल (Bhukhal),Daily Life,😋,easy
Thirsty,प्यासा,ᱛᱮᱛᱟᱝ (Tetang),पियासल (Piyasal),पियासल (Piyasal),Daily Life,🥤,easy
eat,खाना,ᱡᱚᱢ (Jom),खाएक (Khaek),खायेक (Khayek),Actions,🍽️,easy
drink,पीना,ᱧᱩ (Nju),पीएक (Piek),पीयेक (Piyek),Actions,🥤,easy
sleep,सोना,ᱡᱟᱹᱯᱤᱫ (Japid),सूतेक (Sootek),सूतेक (Sootek),Actions,😴,easy
wake up,जागना,ᱮᱵᱷᱮᱱ (Ebhen),जागेक (Jagek),जागेक (Jagek),Actions,⏰,easy
come,आना,ᱦᱤᱡᱩᱜ (Hijug),आवेक (Aawek),आवेक (Aawek),Actions,🚶,easy
go,जाना,ᱥᱮᱱᱚᱜ (Senog),जाएक (Jaek),जाएक (Jaek),Actions,🏃,easy
walk,चलना,ᱛᱟᱲᱟᱢ (Taram),चलेक (Chalek),चलेक (Chalek),Actions,🚶‍♂️,easy
run,दौड़ना,ᱫᱟᱹᱲ (Dar),दौड़ेक (Daudek),दौड़ेक (Daudek),Actions,🏃‍♂️,easy
sit,बैठना,ᱫᱩᱲᱩᱵ (Durub),बैठेक (Baithek),बैठेक (Baithek),Actions,🪑,easy
